afable     horýva     
afable     hekororýva  
afable     hetia'éva 
afamado     herakuäva     
afanar     mokyre'ÿ     
afeitar     tendyva'o     
afeminado     kuñarekóva     
afilar     haimbe'e     
afinar     mosÿi     
afirmar     moatä    
afirmar     mombarete
afrecho     kurukue
afrecho     rorakue      
afrentar     motï      
afrentar     momarä 
afuera     oka      
afuera     okápe  
afuera     okára 
agachado     ojayvýva      
agachado     atuape  
agachado     karapä
agachar     ñakäity  
agachar     mbojayvy 
agachar     ñembokarape 
agalla     pira hay'o       
agalla     py'aguasu     
agasajado     ojeguerohorýva     
agasajar     rohory       
agasajar     jopói
agazaparse     ijatuape     
agazaparse     ijaturu
agencia     tembiapoha      
agencia     sämbyhyha renda 
agenda     ijapopyrä 
agenda     apopyrä       
agente     ñangarekoha     
agente     apoha  
ágil     akuä       
ágil     vevúi
ágil     rari  
agitación     juku'a       
agitación     py'atarova 
agitar     mbokacha     
agitar     mbovava
aglomeración     atyguasu     
aglomeración     teta      
aglomeración     ñembyaty  
agobiar     moangata     
agobiar     jopy  
agobiar     py'apy   
agonía     pytuhë asy     
agonía     jehekyipota 
agonía     pytuhë asy
agonizar     manombota      
agonizar     pytupapota
agosto     jasypoapy       
agosto     virumono'ö
agotar     mbohypa      
agotar     mbokaigue 
agradar     mbohory       
agradar     mbovy'a
agradecer     aguyjeme'ë      
agradecer     mboaguyje
agradecer     hechakuaa  
agrandar     mbopyguasu     
agrandar     mbotuicha  
agrandar     mongakuaa
agravar     mbopohýi     
agravar     mbovaive
agraviar     mbopy'avai     
agraviar     jahéi  
agraviar     moñemyrö  
agravio     ñemyrö     
agravio     ñe'ëmondopyre
agravio     ñemomarä , ñe'ëmondopyre 
agredir     rairö     
agredir     mbuepoti 
agredir     havirarei
agregar     mbojoa      
agregar     mbojoapy  
agregar     moïve 
agresión     havirarei     
agresión     ñenupä   
agresión     havirarei 
agricultor     kokue rerekua    
agricultor     emitÿha
agricultor     chokokue  
agricultura     ñemitÿ     
agricultura     temitÿmby
agridulce     he'ëjopara
agridulce     he'ëmby      
agridulce     he'aivaíva  
agrietar     jokatiri     
agrietar     tiri
agrio     hái     
agronomía     ñemitÿrekokuaa       
agronomía     ñemitÿmbo'e
agrupar     mono'öno'ö       
agrupar     mbyatypa
agrupar     mbyaty 
aguada     ygua 
aguado     ymeme      
aguado     mbo'ypyre 
aguado     yreikue 
aguantar     ñembesu'u     
aguantar     ñemyatä
aguante     pytakuaa   
aguante     rosä  
aguante     jokokuaa 
aguar     mbo'y     
aguardar     ha'arö     
agudo     hakua     
aguijón     popía     
aguja     ju     
agujerear     mbokua     
agujero     kua , kuára     
ahogar     mbo'yguy , moñapymi , mbopytupa     
ahondar     mbopypuku     
ahora     ágä , ko'ágä     
ahorcado     jejuvypyre     
ahorcar     juvy , jejuvy     
ahorrado     ñongatupyre , mboherupyre     
ahorrar     ñongatu , mohemby     
ahumado     moatatïmbyre , apiche     
ahumar     moatatï , motimbo , mboapiche 
